Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Dropbox inc,DBX,"",5000.0,101000.0,0.0473,0.171,115,-24126.0,-82.833207,reduction,0.0012095,Q2 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,25.05
Twilio inc,TWLO,"",500.0,55000.0,0.0257,0.008,116,250.0,100.0,addition,0.0003679,Q4 2016,INFORMATION TECHNOLOGY,13F,09/30/2019,123.155
Enphase energy inc,ENPH,"",1500.0,33000.0,0.0154,,117,1500.0,,new,0.0012297,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,22.23
Roku inc,ROKU,PUT,0.0,0.0,,0.1061,"",-5000.0,-100.0,soldall,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,
Xilinx  inc,XLNX,"",0.0,0.0,,0.0967,"",-3500.0,-100.0,soldall,0.0000000,Q3 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,124.2557
Parsons corp,PSN,"",0.0,0.0,,0.0562,"",-6500.0,-100.0,soldall,0.0000000,Q2 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,36.86
Sunrun inc,RUN,"",0.0,0.0,,0.0988,"",-22500.0,-100.0,soldall,0.0000000,Q2 2019,ENERGY,13F,09/30/2019,18.76
Bilibili inc,BILI,PUT,0.0,0.0,,0.1143,"",-30000.0,-100.0,soldall,No Data,Q2 2019,COMMUNICATIONS,13F,09/30/2019,
Veeva systems inc,VEEV,PUT,0.0,0.0,,0.0949,"",-2500.0,-100.0,soldall,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,
Kratos defense & security solutions inc,KTOS,"",0.0,0.0,,0.1527,"",-28500.0,-100.0,soldall,0.0000000,Q2 2019,INDUSTRIALS,13F,09/30/2019,22.89
Cargurus inc,CARG,CALL,0.0,0.0,,0.1691,"",-20000.0,-100.0,soldall,N/A,Q2 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,
Twilio inc,TWLO,PUT,0.0,0.0,,0.2396,"",-7500.0,-100.0,soldall,N/A,Q1 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,
Spotify technology sa,SPOT,PUT,0.0,0.0,,0.1712,"",-5000.0,-100.0,soldall,N/A,Q2 2019,COMMUNICATIONS,13F,09/30/2019,
Grubhub inc,GRUB,CALL,0.0,0.0,,0.7307,"",-40000.0,-100.0,soldall,N/A,Q2 2019,COMMUNICATIONS,13F,09/30/2019,
Netease inc adr,NTES,CALL,0.0,0.0,,0.2995,"",-5000.0,-100.0,soldall,N/A,Q1 2019,COMMUNICATIONS,13F,09/30/2019,
Stitch fix inc,SFIX,"",0.0,0.0,,0.0937,"",-12500.0,-100.0,soldall,0.0000000,Q2 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,31.99
Under armour inc cl c,UA,"",0.0,0.0,,0.0337,"",-6500.0,-100.0,soldall,0.0000000,Q2 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,22.2
Oracle corp,ORCL,"",0.0,0.0,,0.0801,"",-6000.0,-100.0,soldall,0.0000000,Q2 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,56.97
Carbon black inc,CBLK,CALL,0.0,0.0,,0.3134,"",-80000.0,-100.0,soldall,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,
Weibo corp adr,WB,"",0.0,0.0,,0.2075,"",-20350.0,-100.0,soldall,0.0000000,Q1 2019,COMMUNICATIONS,13F,09/30/2019,44.9092
Exact sciences corp,EXAS,"",0.0,0.0,,0.0829,"",-3000.0,-100.0,soldall,0.0000000,Q2 2019,HEALTH CARE,13F,09/30/2019,118.04
Nasdaq inc,NDAQ,"",0.0,0.0,,0.0562,"",-2500.0,-100.0,soldall,0.0000000,Q2 2019,FINANCE,13F,09/30/2019,96.17
Talend sa adr,TLND,CALL,0.0,0.0,,0.4293,"",-47500.0,-100.0,soldall,N/A,Q1 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,
Blackberry ltd,BB,"",0.0,0.0,,0.0176,"",-10000.0,-100.0,soldall,0.0000000,Q2 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,7.46
Huya inc,HUYA,"",0.0,0.0,,0.1546,"",-26700.0,-100.0,soldall,0.0000000,Q4 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,23.9098
Zendesk inc,ZEN,"",0.0,0.0,,0.0522,"",-2500.0,-100.0,soldall,0.0000000,Q2 2016,INFORMATION TECHNOLOGY,13F,09/30/2019,85.0
Lendingtree inc,TREE,"",0.0,0.0,,0.4525,"",-4600.0,-100.0,soldall,0.0000000,Q2 2019,FINANCE,13F,09/30/2019,420.03
Omnicell inc,OMCL,"",0.0,0.0,,0.0504,"",-2500.0,-100.0,soldall,0.0000000,Q2 2019,HEALTH CARE,13F,09/30/2019,86.03
Coupa software inc,COUP,PUT,0.0,0.0,,0.0742,"",-2500.0,-100.0,soldall,N/A,Q2 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,
On semiconductor corp,ON,"",0.0,0.0,,0.0356,"",-7500.0,-100.0,soldall,0.0000000,Q2 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,20.21
Nio inc,NIO,CALL,0.0,0.0,,0.0719,"",-120300.0,-100.0,soldall,N/A,Q3 2018,CONSUMER DISCRETIONARY,13F,09/30/2019,
Liberty tripadvisor holdings inc a,LTRPA,"",0.0,0.0,,0.0508,"",-17500.0,-100.0,soldall,0.0000000,Q2 2019,COMMUNICATIONS,13F,09/30/2019,12.4
Makemytrip ltd,MMYT,CALL,0.0,0.0,,0.3548,"",-61100.0,-100.0,soldall,N/A,Q1 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,
Johnson controls international plc (tyco laboratories),JCI,"",0.0,0.0,,0.0145,"",-1500.0,-100.0,soldall,0.0000000,Q2 2019,MATERIALS,13F,09/30/2019,41.31
Carvana co,CVNA,"",0.0,0.0,,0.1319,"",-9000.0,-100.0,soldall,0.0000000,Q3 2018,CONSUMER DISCRETIONARY,13F,09/30/2019,60.0733
Apple inc,AAPL,PUT,0.0,0.0,,0.2319,"",-5000.0,-100.0,soldall,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,
Tencent music entertainment group,TME,CALL,0.0,0.0,,0.0703,"",-20000.0,-100.0,soldall,N/A,Q1 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,
Hubspot inc,HUBS,PUT,0.0,0.0,,0.0998,"",-2500.0,-100.0,soldall,N/A,Q1 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,
Qudian inc adr,QD,CALL,0.0,0.0,,0.2354,"",-134000.0,-100.0,soldall,N/A,Q1 2019,FINANCE,13F,09/30/2019,
Tal education group american depositary adr,TAL,"",0.0,0.0,,0.0581,"",-6500.0,-100.0,soldall,0.0000000,Q2 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,38.1
Monster beverage corp.,MNST,CALL,0.0,0.0,,0.1197,"",-8000.0,-100.0,soldall,N/A,Q1 2019,CONSUMER STAPLES,13F,09/30/2019,
Cloudera inc,CLDR,CALL,0.0,0.0,,0.0431,"",-35000.0,-100.0,soldall,N/A,Q4 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,
Caterpillar inc.,CAT,CALL,0.0,0.0,,0.3192,"",-10000.0,-100.0,soldall,N/A,Q2 2019,INDUSTRIALS,13F,09/30/2019,
Uber technologies inc,UBER,CALL,0.0,0.0,,0.7061,"",-65000.0,-100.0,soldall,N/A,Q2 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,
Shake shack inc,SHAK,"",0.0,0.0,,0.5309,"",-31400.0,-100.0,soldall,0.0000000,Q1 2016,CONSUMER DISCRETIONARY,13F,09/30/2019,72.2
Qudian inc adr,QD,"",0.0,0.0,,0.1009,"",-57500.0,-100.0,soldall,0.0000000,Q4 2018,FINANCE,13F,09/30/2019,7.5
Yelp inc.,YELP,CALL,0.0,0.0,,0.3202,"",-40000.0,-100.0,soldall,N/A,Q2 2019,INDUSTRIALS,13F,09/30/2019,
Invesco qqq trust series 1,QQQ,PUT,0.0,0.0,,2.7334,"",-62500.0,-100.0,soldall,No Data,Q4 2015,FINANCE,13F,09/30/2019,
Petiq inc,PETQ,"",0.0,0.0,,0.0965,"",-12500.0,-100.0,soldall,0.0000000,Q2 2018,HEALTH CARE,13F,09/30/2019,31.72
Fedex corporation,FDX,CALL,0.0,0.0,,0.5768,"",-15000.0,-100.0,soldall,N/A,Q2 2019,TRANSPORTS,13F,09/30/2019,
Chewy inc,CHWY,"",0.0,0.0,,0.0616,"",-7500.0,-100.0,soldall,0.0000000,Q2 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,35.0
Shopify inc,SHOP,PUT,0.0,0.0,,0.3515,"",-5000.0,-100.0,soldall,N/A,Q2 2019,COMMUNICATIONS,13F,09/30/2019,
Pagseguro digital ltd,PAGS,"",0.0,0.0,,0.1506,"",-16500.0,-100.0,soldall,0.0000000,Q1 2019,FINANCE,13F,09/30/2019,29.85
Workday inc,WDAY,PUT,0.0,0.0,,0.2408,"",-5000.0,-100.0,soldall,N/A,Q2 2019,COMMUNICATIONS,13F,09/30/2019,
Moneygram international inc,MGI,"",0.0,0.0,,0.0059,"",-10000.0,-100.0,soldall,0.0000000,Q2 2019,FINANCE,13F,09/30/2019,2.47
Re/max holdings inc,RMAX,"",0.0,0.0,,0.108,"",-15000.0,-100.0,soldall,0.0000000,Q2 2019,REAL ESTATE,13F,09/30/2019,30.76
Mercadolibre inc,MELI,"",0.0,0.0,,0.1792,"",-1250.0,-100.0,soldall,0.0000000,Q1 2019,COMMUNICATIONS,13F,09/30/2019,507.73
Roku inc,ROKU,"",0.0,0.0,,0.0424,"",-2000.0,-100.0,soldall,0.0000000,Q3 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,71.0275
Advanced micro devices inc,AMD,PUT,0.0,0.0,,0.1244,"",-17500.0,-100.0,soldall,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,
Atlassian corp plc,TEAM,PUT,0.0,0.0,,0.0766,"",-2500.0,-100.0,soldall,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,
Iqiyi inc,IQ,"",0.0,0.0,,0.0122,"",-2500.0,-100.0,soldall,0.0000000,Q3 2018,COMMUNICATIONS,13F,09/30/2019,23.92
Tandem diabetes care inc,TNDM,CALL,0.0,0.0,,0.0756,"",-5000.0,-100.0,soldall,N/A,Q2 2019,HEALTH CARE,13F,09/30/2019,
First solar inc,FSLR,"",0.0,0.0,,0.0923,"",-6000.0,-100.0,soldall,0.0000000,Q2 2019,INDUSTRIALS,13F,09/30/2019,65.68
Stitch fix inc,SFIX,CALL,0.0,0.0,,0.2248,"",-30000.0,-100.0,soldall,N/A,Q1 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,
Under armour inc cl c,UA,CALL,0.0,0.0,,0.2703,"",-52000.0,-100.0,soldall,N/A,Q2 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,
Oracle corp,ORCL,CALL,0.0,0.0,,2.2109,"",-165700.0,-100.0,soldall,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,
Spotify technology sa,SPOT,"",0.0,0.0,,0.5993,"",-17500.0,-100.0,soldall,0.0000000,Q2 2018,COMMUNICATIONS,13F,09/30/2019,143.04
Grubhub inc,GRUB,"",0.0,0.0,,0.0913,"",-5000.0,-100.0,soldall,0.0000000,Q2 2019,COMMUNICATIONS,13F,09/30/2019,77.99
Netease inc adr,NTES,"",0.0,0.0,,0.03,"",-500.0,-100.0,soldall,0.0000000,Q3 2018,COMMUNICATIONS,13F,09/30/2019,237.05
Mongodb inc,MDB,PUT,0.0,0.0,,0.3562,"",-10000.0,-100.0,soldall,N/A,Q4 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,
Impinj inc,PI,"",0.0,0.0,,0.0335,"",-5000.0,-100.0,soldall,0.0000000,Q2 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,28.62
Blackberry ltd,BB,CALL,0.0,0.0,,0.1398,"",-80000.0,-100.0,soldall,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,
